inspection_id,restaurant_id,inspection_date,inspector_id,score,critical_violations,noncritical_violations,reinspection_required
INS-00051,R0127,2024-08-12,E109,93.8,1,4,N
INS-00052,R0104,2025-07-23,E146,85.5,1,2,N
INS-00053,R0002,2023-02-08,E113,98.1,0,0,N
INS-00054,R0055,2025-12-07,E147,93.9,1,3,N
INS-00055,R0285,2024-08-28,E101,96.6,0,4,N
INS-00056,R0175,2024-02-11,E124,92.6,1,3,N
INS-00057,R0232,2023-10-17,E117,88.5,1,3,N
INS-00058,R0059,2025-09-15,E142,100.0,0,0,N
INS-00059,R0040,2025-03-09,E127,93.6,0,3,N
INS-00060,R0111,2023-07-12,E103,81.2,2,3,Y
INS-00061,R0062,2025-01-14,E121,90.3,0,4,N
INS-00062,R0116,2024-01-21,E129,93.5,1,3,N
INS-00063,R0192,2024-08-20,E121,87.9,1,2,N
INS-00064,R0134,2024-02-29,E116,87.8,1,5,N
INS-00065,R0021,2023-09-28,E110,87.2,1,2,N
INS-00066,R0248,2023-07-12,E108,85.2,2,1,Y
INS-00067,R0025,2025-03-29,E139,91.4,1,2,N
INS-00068,R0296,2024-06-14,E114,89.4,0,3,N
INS-00069,R0239,2023-09-09,E108,92.1,2,1,Y
INS-00070,R0125,2023-10-27,E134,93.0,1,2,N
INS-00071,R0207,2025-12-07,E109,86.3,2,7,Y
INS-00072,R0193,2025-11-02,E106,90.3,0,4,N
INS-00073,R0017,2024-12-22,E130,85.9,2,4,Y
INS-00074,R0234,2023-09-24,E103,92.5,0,5,N
INS-00075,R0239,2023-10-04,E118,99.2,0,3,N
INS-00076,R0288,2023-09-25,E138,86.8,3,3,Y
INS-00077,R0199,2024-01-15,E138,92.9,0,2,N
INS-00078,R0071,2025-04-18,E126,94.0,0,0,N
INS-00079,R0227,2025-08-15,E116,90.7,1,5,N
INS-00080,R0052,2023-11-13,E134,88.3,2,1,Y
INS-00081,R0273,2023-06-04,E116,95.2,0,0,N
INS-00082,R0057,2024-03-04,E146,93.4,1,4,N
INS-00083,R0114,2024-01-15,E143,96.8,0,2,N
INS-00084,R0286,2023-09-25,E136,90.3,1,6,N
INS-00085,R0263,2025-05-11,E147,91.5,2,1,Y
INS-00086,R0050,2024-04-09,E119,96.5,0,1,N
INS-00087,R0190,2025-10-30,E113,93.5,0,4,N
INS-00088,R0023,2025-01-14,E148,89.8,1,4,N
INS-00089,R0223,2024-01-06,E147,95.1,0,2,N
INS-00090,R0215,2023-01-23,E133,95.8,0,0,N
INS-00091,R0036,2024-01-18,E126,89.7,1,3,N
INS-00092,R0094,2024-02-06,E118,89.6,1,2,N
INS-00093,R0122,2025-01-30,E109,96.8,0,4,N
INS-00094,R0160,2024-10-04,E110,92.1,2,3,Y
INS-00095,R0094,2023-01-22,E107,93.5,0,3,N
INS-00096,R0294,2025-10-09,E114,88.9,2,4,Y
INS-00097,R0037,2024-02-10,E127,87.1,0,5,N
INS-00098,R0106,2024-10-11,E113,87.6,1,5,N
INS-00099,R0072,2024-02-08,E109,94.3,0,3,N
INS-00100,R0124,2025-07-01,E103,93.2,0,3,N
INS-00101,R0094,2025-02-01,E130,89.7,1,2,N
INS-00102,R0267,2023-12-28,E132,93.3,1,2,N
INS-00103,R0093,2024-05-19,E126,87.8,1,8,N
INS-00104,R0219,2024-02-10,E104,88.2,2,7,Y
INS-00105,R0200,2025-07-07,E105,88.7,1,7,N
INS-00106,R0235,2025-10-16,E129,91.0,0,8,N
INS-00107,R0173,2025-01-15,E110,97.5,0,1,N
INS-00108,R0152,2023-10-16,E127,95.4,0,2,N
INS-00109,R0107,2024-11-30,E117,95.2,0,2,N
INS-00110,R0109,2024-03-27,E108,94.1,0,5,N
INS-00111,R0081,2023-02-04,E112,92.4,2,3,Y
INS-00112,R0283,2024-07-26,E108,90.7,1,4,N
INS-00113,R0027,2025-06-25,E146,83.0,1,7,Y
INS-00114,R0153,2025-02-25,E138,88.9,3,1,Y
INS-00115,R0003,2025-10-28,E148,90.4,2,3,Y
INS-00116,R0102,2025-05-12,E133,91.7,1,3,N
INS-00117,R0146,2025-05-24,E106,96.5,0,0,N
INS-00118,R0065,2025-12-11,E139,87.9,1,4,N
INS-00119,R0051,2024-02-18,E147,88.2,1,6,N
INS-00120,R0003,2024-05-14,E106,90.8,1,4,N
INS-00121,R0048,2024-10-15,E141,89.7,1,3,N
INS-00122,R0286,2025-09-22,E136,84.1,3,4,Y
INS-00123,R0115,2023-01-28,E104,90.0,1,2,N
INS-00124,R0044,2024-02-27,E105,88.9,0,4,N
INS-00125,R0244,2025-09-11,E115,96.3,0,1,N
INS-00126,R0264,2023-12-02,E146,100.0,0,0,N
INS-00127,R0291,2024-10-07,E127,96.2,0,3,N
INS-00128,R0019,2025-06-28,E138,95.0,0,1,N
INS-00129,R0113,2024-12-12,E141,97.2,0,5,N
INS-00130,R0066,2025-09-21,E132,93.8,0,2,N
INS-00131,R0033,2024-12-14,E143,87.3,4,2,Y
INS-00132,R0090,2025-06-24,E138,88.8,0,6,N
INS-00133,R0016,2025-02-26,E116,96.9,0,2,N
INS-00134,R0201,2025-09-06,E113,91.1,2,1,Y
INS-00135,R0280,2023-08-03,E116,97.7,0,1,N
INS-00136,R0265,2025-02-18,E145,84.0,4,10,Y
INS-00137,R0263,2025-02-07,E135,92.9,1,1,N
INS-00138,R0047,2023-05-11,E142,97.5,1,0,N
INS-00139,R0223,2023-03-10,E119,95.7,0,2,N
INS-00140,R0187,2025-07-26,E113,91.8,1,3,N
INS-00141,R0112,2023-05-26,E128,87.8,2,4,Y
INS-00142,R0082,2024-03-02,E148,97.3,1,1,N
INS-00143,R0133,2023-01-22,E119,89.8,0,4,N
INS-00144,R0119,2023-06-23,E106,96.2,1,1,N
INS-00145,R0181,2025-01-16,E137,91.2,1,0,N
INS-00146,R0070,2024-10-16,E135,89.9,0,3,N
INS-00147,R0178,2024-06-22,E146,95.1,0,2,N
INS-00148,R0280,2024-09-18,E103,96.5,0,2,N
INS-00149,R0227,2024-05-01,E127,89.9,1,2,N
INS-00150,R0299,2025-03-12,E130,96.4,0,1,N
INS-00151,R0135,2024-02-22,E146,96.2,0,1,N
INS-00152,R0207,2023-11-10,E129,85.8,2,3,Y
INS-00153,R0164,2025-02-19,E138,91.4,0,5,N
INS-00154,R0177,2023-02-13,E107,84.1,3,3,Y
INS-00155,R0122,2024-03-14,E110,99.4,0,1,N
INS-00156,R0161,2024-10-08,E117,87.8,1,3,N
INS-00157,R0264,2023-06-29,E127,100.0,0,1,N
INS-00158,R0269,2025-10-10,E113,79.9,3,4,Y
INS-00159,R0208,2025-10-25,E107,85.3,3,1,Y
INS-00160,R0173,2023-03-30,E127,99.3,0,1,N
INS-00161,R0236,2025-09-17,E111,92.5,0,1,N
INS-00162,R0066,2023-08-23,E115,93.3,1,1,N
INS-00163,R0087,2025-11-22,E148,97.1,0,2,N
INS-00164,R0165,2024-04-07,E139,92.7,0,4,N
INS-00165,R0232,2023-06-10,E104,88.2,1,4,N
INS-00166,R0090,2023-10-18,E129,91.5,0,2,N
INS-00167,R0241,2023-05-29,E128,92.5,1,2,N
INS-00168,R0068,2024-10-17,E110,87.4,1,7,N
INS-00169,R0080,2024-06-01,E109,97.4,0,0,N
INS-00170,R0252,2024-02-17,E115,90.6,1,1,N
INS-00171,R0072,2025-04-02,E109,97.8,0,0,N
INS-00172,R0123,2023-09-08,E142,90.7,1,3,N
INS-00173,R0017,2025-07-07,E143,92.5,0,4,N
INS-00174,R0269,2024-01-28,E111,80.2,3,5,Y
INS-00175,R0278,2023-10-01,E115,94.6,0,3,N
INS-00176,R0195,2024-02-21,E127,91.5,1,2,N
INS-00177,R0132,2025-06-16,E134,86.7,2,2,Y
INS-00178,R0269,2023-11-14,E108,84.8,1,4,Y
INS-00179,R0227,2025-05-04,E144,91.3,1,2,N
INS-00180,R0051,2025-12-12,E141,89.5,1,0,N
INS-00181,R0035,2024-05-06,E119,91.0,0,8,N
INS-00182,R0167,2025-08-17,E119,91.1,1,6,N
INS-00183,R0157,2025-02-26,E119,94.3,2,2,Y
INS-00184,R0021,2024-06-05,E143,88.8,0,3,N
INS-00185,R0225,2023-01-31,E118,89.1,2,3,Y
INS-00186,R0173,2024-11-11,E108,99.3,0,0,N
INS-00187,R0171,2024-06-23,E113,98.5,0,0,N
INS-00188,R0013,2024-12-21,E146,96.3,0,2,N
INS-00189,R0208,2024-12-07,E104,91.5,0,1,N
INS-00190,R0049,2025-04-07,E131,89.0,1,7,N
INS-00191,R0040,2024-09-15,E123,92.4,0,4,N
INS-00192,R0143,2024-03-25,E120,85.4,3,2,Y
INS-00193,R0069,2025-10-10,E121,91.0,2,2,Y
INS-00194,R0069,2024-05-03,E140,94.2,1,1,N
INS-00195,R0140,2023-05-15,E103,85.5,2,1,Y
INS-00196,R0135,2023-10-20,E101,98.5,0,0,N
INS-00197,R0218,2025-03-13,E104,82.7,5,0,Y
INS-00198,R0236,2024-06-22,E147,96.1,0,1,N
INS-00199,R0251,2025-01-04,E146,94.1,1,2,N
INS-00200,R0187,2025-07-10,E115,96.1,0,3,N
INS-00201,R0033,2024-05-27,E144,95.0,0,1,N
INS-00202,R0196,2024-05-28,E118,90.6,0,8,N
INS-00203,R0251,2025-03-18,E114,93.7,1,3,N
INS-00204,R0045,2025-03-09,E127,94.2,0,5,N
INS-00205,R0189,2025-02-07,E142,91.1,0,1,N
INS-00206,R0089,2024-09-14,E116,88.9,3,2,Y
INS-00207,R0292,2023-05-09,E130,91.1,0,10,N
INS-00208,R0233,2025-01-11,E132,91.7,1,1,N
INS-00209,R0100,2025-03-19,E113,94.4,0,1,N
INS-00210,R0144,2024-04-24,E129,94.7,0,2,N
INS-00211,R0123,2024-07-31,E132,93.9,0,3,N
INS-00212,R0022,2024-04-01,E122,99.0,0,3,N
INS-00213,R0040,2025-08-01,E147,92.1,0,6,N
INS-00214,R0222,2023-05-03,E117,100.0,0,1,N
INS-00215,R0285,2025-04-21,E126,97.0,0,1,N
INS-00216,R0148,2023-12-24,E117,84.0,3,6,Y
INS-00217,R0184,2024-08-11,E133,95.7,0,3,N
INS-00218,R0284,2023-06-11,E102,88.7,0,6,N
INS-00219,R0024,2024-03-16,E124,91.5,2,3,Y
INS-00220,R0072,2025-11-17,E148,96.4,0,2,N
INS-00221,R0048,2024-06-15,E128,90.6,1,0,N
INS-00222,R0141,2025-01-03,E110,91.6,1,2,N
INS-00223,R0210,2024-05-19,E106,90.2,3,0,Y
INS-00224,R0148,2024-07-21,E138,88.1,2,5,Y
INS-00225,R0117,2023-10-13,E128,86.2,2,3,Y
INS-00226,R0063,2024-07-20,E125,94.1,0,2,N
INS-00227,R0148,2023-01-25,E132,94.4,0,5,N
INS-00228,R0212,2024-12-27,E140,92.6,1,4,N
INS-00229,R0297,2023-06-13,E101,100.0,0,0,N
INS-00230,R0255,2024-09-02,E101,93.3,0,3,N
INS-00231,R0259,2025-01-23,E142,81.1,5,1,Y
INS-00232,R0042,2024-10-31,E142,83.3,2,13,Y
INS-00233,R0089,2024-01-07,E127,93.4,1,1,N
INS-00234,R0147,2025-08-16,E104,89.0,2,6,Y
INS-00235,R0265,2025-09-21,E134,93.2,2,3,Y
INS-00236,R0084,2025-07-30,E118,94.1,1,1,N
INS-00237,R0265,2024-12-21,E129,94.0,1,0,N
INS-00238,R0089,2025-01-04,E144,93.8,1,3,N
INS-00239,R0114,2025-08-26,E104,97.3,0,1,N
INS-00240,R0026,2025-11-16,E119,96.3,1,1,N
INS-00241,R0180,2024-06-03,E129,93.2,0,5,N
INS-00242,R0265,2023-02-22,E134,98.0,0,1,N
INS-00243,R0210,2025-06-21,E126,89.9,2,7,Y
INS-00244,R0014,2023-01-09,E136,99.3,0,0,N
INS-00245,R0245,2023-09-13,E118,90.9,1,5,N
INS-00246,R0078,2025-10-25,E143,94.5,0,0,N
INS-00247,R0232,2023-01-03,E125,87.3,2,2,Y
INS-00248,R0076,2024-04-16,E127,92.9,1,2,N
INS-00249,R0257,2024-04-30,E146,92.5,2,2,Y
INS-00250,R0118,2025-06-29,E137,95.8,1,3,N
INS-00251,R0196,2025-06-21,E121,84.4,4,2,Y
INS-00252,R0110,2025-12-06,E147,88.4,2,3,Y
INS-00253,R0083,2024-10-12,E135,92.3,1,1,N
INS-00254,R0164,2025-05-24,E147,89.7,1,5,N
INS-00255,R0188,2025-01-25,E111,89.0,1,0,N
INS-00256,R0044,2024-12-03,E110,85.2,1,6,N
INS-00257,R0185,2025-01-08,E118,94.0,0,2,N
INS-00258,R0043,2023-12-19,E105,93.9,0,2,N
INS-00259,R0166,2024-10-14,E134,89.4,2,2,Y
INS-00260,R0154,2024-05-30,E145,92.6,1,3,N
INS-00261,R0128,2024-10-06,E130,92.6,2,1,Y
INS-00262,R0114,2024-04-18,E101,94.1,1,2,N
INS-00263,R0281,2023-01-03,E117,90.5,1,3,N
INS-00264,R0016,2025-06-03,E140,98.6,0,0,N
INS-00265,R0097,2025-07-08,E138,85.4,3,3,Y
INS-00266,R0186,2024-07-30,E127,91.7,1,1,N
INS-00267,R0095,2025-09-02,E131,90.8,2,2,Y
INS-00268,R0215,2024-04-20,E137,96.8,0,2,N
INS-00269,R0083,2025-04-22,E124,88.8,2,2,Y
INS-00270,R0215,2024-09-10,E120,97.8,0,2,N
INS-00271,R0294,2025-10-08,E111,89.2,1,8,N
INS-00272,R0011,2025-04-30,E137,97.4,0,0,N
INS-00273,R0079,2025-12-11,E107,94.2,0,0,N
INS-00274,R0039,2024-07-22,E146,81.6,4,2,Y
INS-00275,R0019,2024-11-11,E110,92.8,0,0,N
INS-00276,R0162,2025-09-23,E117,91.7,0,7,N
INS-00277,R0249,2025-06-16,E125,99.4,0,0,N
INS-00278,R0233,2025-12-21,E134,91.6,1,4,N
INS-00279,R0173,2024-09-10,E116,100.0,0,0,N
INS-00280,R0142,2023-05-09,E101,89.7,2,3,Y
INS-00281,R0218,2025-12-15,E106,92.2,0,5,N
INS-00282,R0290,2023-03-28,E137,96.9,0,1,N
INS-00283,R0064,2024-08-13,E106,93.9,0,1,N
INS-00284,R0008,2023-10-31,E114,92.9,0,4,N
INS-00285,R0052,2025-04-27,E133,89.8,1,2,N
INS-00286,R0217,2024-03-12,E141,90.6,1,3,N
INS-00287,R0108,2023-03-31,E116,98.6,1,3,N
INS-00288,R0235,2025-09-15,E138,90.6,2,2,Y
INS-00289,R0161,2025-04-03,E113,90.4,0,2,N
INS-00290,R0166,2024-12-19,E106,95.4,0,2,N
INS-00291,R0038,2025-07-07,E123,86.1,4,1,Y
INS-00292,R0044,2023-02-10,E110,86.9,1,3,N
INS-00293,R0173,2025-07-05,E124,99.5,0,0,N
INS-00294,R0083,2023-09-07,E108,94.0,0,3,N
INS-00295,R0259,2023-09-10,E123,87.8,1,4,N
INS-00296,R0191,2023-09-24,E144,91.8,0,0,N
INS-00297,R0142,2023-05-10,E123,90.7,0,2,N
INS-00298,R0185,2024-04-30,E110,93.5,0,1,N
INS-00299,R0008,2025-02-15,E146,95.6,0,1,N
INS-00300,R0216,2024-12-26,E104,86.8,3,2,Y
INS-00301,R0001,2024-10-23,E113,92.5,1,3,N
INS-00302,R0113,2025-10-18,E131,94.7,1,4,N
INS-00303,R0047,2023-05-28,E124,95.3,1,3,N
INS-00304,R0230,2024-04-13,E112,88.7,1,6,N
INS-00305,R0250,2023-03-20,E128,98.8,0,2,N
INS-00306,R0054,2024-11-22,E133,90.0,2,4,Y
INS-00307,R0287,2025-01-08,E125,85.8,4,5,Y
INS-00308,R0162,2024-03-18,E117,87.6,2,6,Y
INS-00309,R0068,2023-04-18,E129,92.4,0,0,N
INS-00310,R0249,2024-02-02,E134,93.8,0,1,N
INS-00311,R0137,2024-02-27,E141,95.9,1,0,N
INS-00312,R0178,2025-10-21,E113,93.6,1,0,N
INS-00313,R0110,2025-02-01,E112,93.6,0,0,N
INS-00314,R0291,2024-02-22,E139,94.9,0,4,N
INS-00315,R0279,2024-02-19,E116,84.9,3,3,Y
INS-00316,R0137,2025-07-20,E104,97.6,0,1,N
INS-00317,R0197,2024-04-09,E133,85.3,1,3,N
INS-00318,R0210,2025-09-14,E126,91.6,2,5,Y
INS-00319,R0206,2025-07-01,E135,88.7,2,3,Y
INS-00320,R0243,2024-08-08,E118,94.5,0,1,N
INS-00321,R0182,2025-01-30,E132,91.7,0,4,N
INS-00322,R0137,2023-11-21,E146,98.8,0,0,N
INS-00323,R0015,2023-06-29,E122,100.0,0,1,N
INS-00324,R0238,2023-03-28,E131,96.0,0,5,N
INS-00325,R0176,2023-03-09,E114,93.5,1,1,N
INS-00326,R0287,2025-11-28,E132,93.6,1,0,N
INS-00327,R0088,2024-03-20,E102,96.3,0,2,N
INS-00328,R0033,2024-01-01,E145,94.8,0,2,N
INS-00329,R0162,2024-05-31,E103,86.4,2,9,Y
INS-00330,R0141,2024-08-12,E105,89.8,1,6,N
INS-00331,R0024,2023-06-12,E126,97.8,0,1,N
INS-00332,R0286,2023-08-14,E146,91.5,1,1,N
INS-00333,R0067,2025-05-10,E147,93.0,1,4,N
INS-00334,R0087,2024-09-18,E138,90.4,2,3,Y
INS-00335,R0043,2024-03-07,E114,97.5,0,1,N
INS-00336,R0142,2025-02-14,E130,89.7,1,3,N
INS-00337,R0031,2024-10-27,E147,92.7,2,1,Y
INS-00338,R0199,2024-07-12,E105,90.1,1,1,N
INS-00339,R0247,2025-05-17,E101,89.8,1,1,N
INS-00340,R0087,2025-10-06,E120,92.9,1,4,N
INS-00341,R0139,2025-08-25,E141,95.7,0,2,N
INS-00342,R0143,2023-01-04,E107,85.5,1,10,N
INS-00343,R0139,2024-01-26,E110,95.6,0,5,N
INS-00344,R0238,2023-12-18,E136,88.5,2,5,Y
INS-00345,R0215,2025-06-24,E106,96.0,0,2,N
INS-00346,R0269,2025-07-16,E129,82.7,2,2,Y
INS-00347,R0033,2023-04-25,E131,95.8,0,1,N
INS-00348,R0089,2025-06-14,E135,95.2,0,2,N
INS-00349,R0092,2025-10-22,E118,89.2,1,6,N
INS-00350,R0218,2024-08-15,E128,88.6,2,3,Y
INS-00351,R0144,2024-01-16,E109,91.2,1,3,N
INS-00352,R0038,2025-12-30,E144,84.7,4,5,Y
INS-00353,R0016,2024-01-23,E124,99.0,0,1,N
INS-00354,R0171,2023-06-07,E108,97.6,1,3,N
INS-00355,R0282,2024-10-20,E128,91.2,2,3,Y
INS-00356,R0069,2025-05-28,E145,92.2,1,2,N
INS-00357,R0238,2024-11-26,E133,90.4,1,4,N
INS-00358,R0237,2023-07-16,E128,94.7,0,3,N
INS-00359,R0178,2025-06-26,E135,92.0,1,1,N
INS-00360,R0073,2023-05-14,E127,90.1,1,3,N
INS-00361,R0237,2024-10-12,E130,94.1,0,2,N
INS-00362,R0036,2024-10-29,E129,93.3,0,3,N
INS-00363,R0290,2025-09-30,E106,95.0,1,2,N
INS-00364,R0251,2024-08-30,E142,98.7,0,1,N
INS-00365,R0259,2025-07-24,E139,90.5,0,7,N
INS-00366,R0300,2024-07-19,E134,90.6,1,0,N
INS-00367,R0055,2023-07-06,E112,95.4,0,3,N
INS-00368,R0219,2024-04-15,E102,93.7,1,3,N
INS-00369,R0128,2024-01-05,E124,95.6,0,1,N
INS-00370,R0162,2024-11-30,E106,86.8,2,4,Y
INS-00371,R0247,2025-10-12,E141,89.6,0,3,N
INS-00372,R0273,2025-06-19,E140,95.4,0,2,N
INS-00373,R0145,2023-09-01,E121,97.9,0,3,N
INS-00374,R0090,2023-06-03,E111,88.4,1,4,N
INS-00375,R0177,2023-07-16,E145,86.2,2,6,Y
INS-00376,R0096,2024-07-28,E119,95.7,0,1,N
INS-00377,R0261,2023-03-05,E121,94.7,0,4,N
INS-00378,R0036,2025-05-13,E105,95.7,0,2,N
INS-00379,R0116,2025-12-07,E125,94.7,0,2,N
INS-00380,R0058,2025-10-27,E108,89.5,0,3,N
INS-00381,R0204,2024-10-12,E109,95.7,0,1,N
INS-00382,R0107,2024-11-03,E123,93.4,1,2,N
INS-00383,R0150,2024-04-27,E111,91.5,2,2,Y
INS-00384,R0098,2025-07-11,E103,89.9,0,2,N
INS-00385,R0039,2023-10-03,E124,85.2,1,6,N
INS-00386,R0127,2025-12-05,E124,90.5,2,5,Y
INS-00387,R0234,2023-12-29,E141,90.1,2,2,Y
INS-00388,R0253,2024-01-07,E148,94.3,0,0,N
INS-00389,R0191,2025-09-24,E146,89.4,0,2,N
INS-00390,R0160,2025-04-06,E128,95.6,1,1,N
INS-00391,R0279,2025-06-21,E141,89.8,0,4,N
INS-00392,R0139,2025-07-16,E127,97.4,0,2,N
INS-00393,R0055,2024-04-30,E146,98.8,0,0,N
INS-00394,R0261,2023-04-28,E110,92.3,0,4,N
INS-00395,R0078,2025-07-29,E126,92.3,0,3,N
INS-00396,R0184,2025-02-04,E119,93.3,1,1,N
INS-00397,R0179,2023-12-25,E103,91.7,1,4,N
INS-00398,R0021,2024-04-06,E136,84.7,2,6,Y
INS-00399,R0050,2023-06-19,E138,96.3,0,2,N
INS-00400,R0053,2024-04-19,E139,100.0,0,0,N
INS-00401,R0064,2025-02-14,E106,89.0,1,1,N
INS-00402,R0152,2025-08-19,E131,91.3,1,1,N
INS-00403,R0093,2024-10-04,E122,88.4,1,3,N
INS-00404,R0104,2025-07-30,E146,88.9,0,8,N
INS-00405,R0246,2023-12-16,E147,94.9,0,0,N
INS-00406,R0053,2023-04-21,E138,98.7,0,1,N
INS-00407,R0047,2023-08-03,E133,93.7,2,5,Y
INS-00408,R0023,2024-05-30,E141,86.0,2,7,Y
INS-00409,R0242,2024-10-12,E104,93.4,0,0,N
INS-00410,R0201,2024-08-02,E120,91.2,2,3,Y
INS-00411,R0108,2024-04-05,E128,96.4,1,1,N
INS-00412,R0059,2025-09-01,E143,100.0,0,1,N
INS-00413,R0011,2025-03-04,E135,97.2,0,3,N
INS-00414,R0266,2023-03-27,E111,94.4,0,5,N
INS-00415,R0057,2023-05-26,E102,94.1,0,2,N
INS-00416,R0267,2023-06-18,E124,92.2,0,4,N
INS-00417,R0024,2024-11-27,E136,94.0,1,5,N
INS-00418,R0184,2024-03-28,E139,95.6,1,0,N
INS-00419,R0027,2025-02-28,E126,85.7,2,6,Y
INS-00420,R0105,2023-01-15,E118,86.7,1,7,N
INS-00421,R0247,2024-06-22,E125,89.4,1,3,N
INS-00422,R0148,2024-07-14,E148,88.9,2,4,Y
INS-00423,R0191,2025-03-03,E124,89.7,0,2,N
INS-00424,R0262,2023-06-26,E130,97.7,0,2,N
INS-00425,R0127,2025-11-12,E121,93.2,1,2,N
INS-00426,R0211,2024-03-03,E144,92.1,1,6,N
INS-00427,R0201,2024-10-28,E142,97.1,0,3,N
INS-00428,R0137,2025-10-22,E116,98.2,0,1,N
INS-00429,R0172,2025-12-01,E144,90.0,0,1,N
INS-00430,R0231,2024-09-26,E117,88.0,2,1,Y
INS-00431,R0231,2024-05-30,E102,92.2,0,1,N
INS-00432,R0119,2023-05-29,E148,97.9,0,1,N
INS-00433,R0008,2023-01-07,E142,91.0,2,1,Y
INS-00434,R0178,2023-10-01,E146,95.8,0,1,N
INS-00435,R0229,2024-08-16,E129,78.7,3,4,Y
INS-00436,R0279,2024-10-01,E101,79.5,5,3,Y
INS-00437,R0174,2024-03-27,E148,83.3,2,5,Y
INS-00438,R0203,2023-04-08,E108,89.3,2,2,Y
INS-00439,R0069,2023-10-09,E111,93.4,1,2,N
INS-00440,R0102,2025-03-27,E115,94.5,1,3,N
INS-00441,R0218,2024-08-27,E116,90.7,1,1,N
INS-00442,R0091,2025-09-23,E144,91.0,1,1,N
INS-00443,R0141,2023-09-12,E133,93.9,0,2,N
INS-00444,R0113,2024-09-28,E111,98.5,0,3,N
INS-00445,R0177,2023-11-16,E114,90.3,0,3,N
INS-00446,R0295,2025-05-29,E124,92.2,1,4,N
INS-00447,R0270,2025-10-11,E106,93.8,1,2,N
INS-00448,R0062,2025-07-05,E136,83.6,1,4,Y
INS-00449,R0195,2024-04-09,E118,87.4,2,3,Y
INS-00450,R0177,2025-12-22,E104,89.6,1,2,N
INS-00451,R0066,2024-02-06,E137,89.1,2,2,Y
INS-00452,R0121,2024-10-19,E121,92.5,0,3,N
INS-00453,R0219,2023-11-23,E109,95.9,0,1,N
INS-00454,R0206,2024-10-03,E112,88.5,2,2,Y
INS-00455,R0035,2024-02-16,E108,90.3,1,3,N
INS-00456,R0110,2024-08-08,E121,88.0,2,3,Y
INS-00457,R0145,2025-07-23,E131,97.2,0,2,N
INS-00458,R0206,2023-06-03,E121,89.4,1,4,N
INS-00459,R0053,2024-01-15,E117,100.0,0,0,N
